Date,Result,Opponent,Old Elo,New Elo,Elo Change,Team
1992-08-15,0,Tottenham,1000.0,1000.0,0.0,Southampton
1992-08-19,-1,QPR,1000.0,975.0,-25.0,Southampton
1992-08-22,0,Aston Villa,975.0,976.9242986864393,1.9242986864393288,Southampton
1992-08-24,-1,Manchester Utd,976.9242986864393,950.4823668207888,-26.44193186565053,Southampton
1992-08-29,1,Middlesbrough,950.4823668207888,980.9923527311333,30.50998591034454,Southampton
1992-09-01,0,Liverpool,980.9923527311333,980.9933795897141,0.0010268585807580166,Southampton
1992-09-05,-1,Norwich City,980.9933795897141,961.4041734642691,-19.589206125445003,Southampton
1992-09-12,-1,QPR,961.4041734642691,941.9682665433081,-19.435906920960974,Southampton
1992-09-19,0,Leeds United,941.9682665433081,945.5754013976575,3.607134854349397,Southampton
1992-09-26,1,Crystal Palace,945.5754013976575,971.9446302918315,26.369228894173943,Southampton
1992-10-03,-1,Sheffield Utd,971.9446302918315,944.8680067071995,-27.07662358463199,Southampton
1992-10-17,0,Wimbledon,944.8680067071995,945.2158848098074,0.3478781026079787,Southampton
1992-10-24,-1,Manchester City,945.2158848098074,920.5216177700393,-24.694267039768192,Southampton
1992-10-31,1,Oldham Athletic,920.5216177700393,949.9392947474832,29.41767697744399,Southampton
1992-11-07,0,Ipswich Town,949.9392947474832,954.5159809891768,4.576686241693551,Southampton
1992-11-22,0,Blackburn,954.5159809891768,961.8714520249174,7.355471035740607,Southampton
1992-11-28,1,Nott'ham Forest,961.8714520249174,981.6822084465774,19.810756421660017,Southampton
1992-12-05,1,Arsenal,981.6822084465774,1010.8896883945172,29.20747994793976,Southampton
1992-12-12,0,Coventry City,1010.8896883945172,1008.8058930252598,-2.083795369257359,Southampton
1992-12-19,-1,Everton,1008.8058930252598,976.7488178442504,-32.057075181009395,Southampton
1992-12-26,0,Chelsea,976.7488178442504,984.3803176917514,7.631499847501004,Southampton
1992-12-28,-1,Sheffield Weds,984.3803176917514,959.149242067194,-25.231075624557434,Southampton
1993-01-09,-1,Leeds United,959.149242067194,932.6990561778068,-26.45018588938717,Southampton
1993-01-16,1,Crystal Palace,932.6990561778068,962.3362541030202,29.6371979252134,Southampton
1993-01-26,-1,Middlesbrough,962.3362541030202,935.1946738530638,-27.141580249956405,Southampton
1993-01-30,1,Aston Villa,935.1946738530638,973.2451948451319,38.05052099206807,Southampton
1993-02-07,-1,Tottenham,973.2451948451319,949.6844628318981,-23.560732013233746,Southampton
1993-02-10,1,Norwich City,949.6844628318981,983.334004371855,33.649541539956886,Southampton
1993-02-13,1,Liverpool,983.334004371855,1008.3683966586392,25.03439228678417,Southampton
1993-02-20,-1,Manchester Utd,1008.3683966586392,991.8170813872202,-16.551315271418957,Southampton
1993-02-27,1,Sheffield Utd,991.8170813872202,1012.8954729939372,21.07839160671699,Southampton
1993-03-06,1,Wimbledon,1012.8954729939372,1038.7103034743586,25.814830480421392,Southampton
1993-03-09,0,Blackburn,1038.7103034743586,1033.348835172251,-5.361468302107596,Southampton
1993-03-13,1,Ipswich Town,1033.348835172251,1053.3492263111605,20.000391138909436,Southampton
1993-03-20,-1,Arsenal,1053.3492263111605,1022.8944390247866,-30.454787286373858,Southampton
1993-03-24,-1,Nott'ham Forest,1022.8944390247866,992.3569579142567,-30.53748111052994,Southampton
1993-04-03,-1,Coventry City,992.3569579142567,962.5563827348169,-29.80057517943976,Southampton
1993-04-10,1,Chelsea,962.5563827348169,989.4867340794718,26.930351344654923,Southampton
1993-04-12,-1,Sheffield Weds,989.4867340794718,968.9876654486551,-20.499068630816737,Southampton
1993-04-17,0,Everton,968.9876654486551,969.3339063719308,0.3462409232756727,Southampton
